ABSTRACT_ID,TEXT,LOCATION,LABEL
1,a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds CS bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a recovery rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the reference substance ifosfamide if a further OD of cyclophosphamide applied without HG in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min HG caused no further improvement of the recovery rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made T3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited plaque test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostaticsthere is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising,24,carcinosarcoma
1,a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds CS bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a recovery rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the reference substance ifosfamide if a further OD of cyclophosphamide applied without HG in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min HG caused no further improvement of the recovery rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made T3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited plaque test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostaticsthere is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising,74,development
1,a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds CS bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a recovery rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the reference substance ifosfamide if a further OD of cyclophosphamide applied without HG in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min HG caused no further improvement of the recovery rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made T3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited plaque test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostaticsthere is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising,79,hyperglycemia
1,a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds CS bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a recovery rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the reference substance ifosfamide if a further OD of cyclophosphamide applied without HG in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min HG caused no further improvement of the recovery rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made T3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited plaque test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostaticsthere is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising,106,hyperglycemia
1,a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds CS bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a recovery rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the reference substance ifosfamide if a further OD of cyclophosphamide applied without HG in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min HG caused no further improvement of the recovery rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made T3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited plaque test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostaticsthere is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising,137,after
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,1,distribution
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,15,ventricular
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,38,myocardial blood flow
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,46,distribution
2,the CSD of blood flow to the subendocardial medium and subepicardial layers of the left VVI free wall was studied in anaesthetized dogs under normoxic a hypoxic b conditions and under pharmacologically induced etafenone coronary vasodilation c regional MBF was determined by means of the particle CSD method in normoxia a transmural gradient of flow was observed with the subendocardial layers receiving a significantly higher flow rate compared with the subepicardial layers in hypoxia induced vasodilation this transmural gradient of flow was persistent in contrast a marked RD of regional flow was observed under pharmacologically induced vasodilation the transmural gradient decreased in contrast to some findings these experiments demonstrate that a considerable vasodilatory capacity exists in all layers of the myocardium and can be utilized by drugs the differences observed for the intramural distribution DP of flow under hypoxia and drug induced vasodilation support the hypothesis that this pattern reflects corresponding gradients of regional myocardial metabolism,87,redistribution
